Date,Close
2021-03-22,123.389999
2021-03-23,122.540001
2021-03-24,120.089996
2021-03-25,120.589996
2021-03-26,121.209999
2021-03-29,121.389999
2021-03-30,119.900002
2021-03-31,122.150002
2021-04-01,123.000000
2021-04-05,125.900002
2021-04-06,126.209999
2021-04-07,127.900002
2021-04-08,130.360001
2021-04-09,133.000000
2021-04-12,131.240005
2021-04-13,134.429993
2021-04-14,132.029999
2021-04-15,134.500000
2021-04-16,134.160004
2021-04-19,134.839996
2021-04-20,133.110001
2021-04-21,133.500000
2021-04-22,131.940002
2021-04-23,134.320007
2021-04-26,134.720001
2021-04-27,134.389999
2021-04-28,133.580002
2021-04-29,133.479996
2021-04-30,131.460007
2021-05-03,132.539993
2021-05-04,127.849998
2021-05-05,128.100006
2021-05-06,129.740005
2021-05-07,130.210007
2021-05-10,126.849998
2021-05-11,125.910004
2021-05-12,122.769997
2021-05-13,124.970001
2021-05-14,127.449997
2021-05-17,126.269997
2021-05-18,124.849998
2021-05-19,124.690002
2021-05-20,127.309998
2021-05-21,125.430000
2021-05-24,127.099998
2021-05-25,126.900002
2021-05-26,126.849998
2021-05-27,125.279999
2021-05-28,124.610001
2021-06-01,124.279999
2021-06-02,125.059998
2021-06-03,123.540001
2021-06-04,125.889999
2021-06-07,125.900002
2021-06-08,126.739998
2021-06-09,127.129997
2021-06-10,126.110001
2021-06-11,127.349998
2021-06-14,130.479996
2021-06-15,129.639999
2021-06-16,130.149994
2021-06-17,131.789993
2021-06-18,130.460007
2021-06-21,132.300003
2021-06-22,133.979996
2021-06-23,133.699997
2021-06-24,133.410004
2021-06-25,133.110001
2021-06-28,134.779999
2021-06-29,136.330002
2021-06-30,136.960007
2021-07-01,137.270004
2021-07-02,139.960007
2021-07-06,142.020004
2021-07-07,144.570007
2021-07-08,143.240005
2021-07-09,145.110001
2021-07-12,144.500000
2021-07-13,145.639999
2021-07-14,149.149994
2021-07-15,148.479996
2021-07-16,146.389999
2021-07-19,142.449997
2021-07-20,146.149994
2021-07-21,145.399994
2021-07-22,146.800003
2021-07-23,148.559998
2021-07-26,148.990005
2021-07-27,146.770004
2021-07-28,144.979996
2021-07-29,145.639999
2021-07-30,145.860001
2021-08-02,145.520004
2021-08-03,147.360001
2021-08-04,146.949997
2021-08-05,147.059998
2021-08-06,146.139999
2021-08-09,146.089996
